,new
" 'textDisplay': ""One interesting fact that didn’t make it into the piece is that movie theaters didn’t always have consistently great sound — it only became consistent thanks to Star Wars. \n\nThe story goes like this: George Lucas was trying to find a theater to premiere ‘Return of the Jedi.’ and every theater he went to had terribly set up sound systems. He was like"," 'textDisplay': ""One interesting fact that didn’t make it into the piece is that movie theaters didn’t always have consistently great sound — it only became consistent thanks to Star Wars. \n\nThe story goes like this: George Lucas was trying to find a theater to premiere ‘Return of the Jedi.’ and every theater he went to had terribly set up sound systems. He was like"
 'textDisplay': 'This is actually a massive relief, 'textDisplay': 'This is actually a massive relief
" 'textDisplay': ""As an English teacher and non-native speaker myself"," 'textDisplay': ""As an English teacher and non-native speaker myself"
 'textDisplay': 'I am a Brazilian learning English and I was always tough on myself because I was still not able to watch a movie without subtitles. Now that I found out that native English speakers are also using subtitles I fell much better 🤣', 'textDisplay': 'I am a Brazilian learning English and I was always tough on myself because I was still not able to watch a movie without subtitles. Now that I found out that native English speakers are also using subtitles I fell much better 🤣'
 'textDisplay': 'I think there´s another reason behind it, 'textDisplay': 'I think there´s another reason behind it
 'textDisplay': 'As someone who has Auditory Processing Disorder, 'textDisplay': 'As someone who has Auditory Processing Disorder
" 'textDisplay': ""I'm Italian (fluent in English) and I've noticed that our dub is usually clearer than the source material. I've never had to put subtitles on dubbed movies (while I have to use them for original italian movies most of the time cause actors tend to have heavy accents)"," 'textDisplay': ""I'm Italian (fluent in English) and I've noticed that our dub is usually clearer than the source material. I've never had to put subtitles on dubbed movies (while I have to use them for original italian movies most of the time cause actors tend to have heavy accents)"
 'textDisplay': 'We all love those movies where you can’t hear the dialogue so you turn up the volume… just in time for an explosion that shakes your entire house', 'textDisplay': 'We all love those movies where you can’t hear the dialogue so you turn up the volume… just in time for an explosion that shakes your entire house'
" 'textDisplay': ""Would've loved an explanation about why dialogue (in some movies / series even close to all of it) has to be in whispers.\nThere can be two characters in an enclosed room"," 'textDisplay': ""Would've loved an explanation about why dialogue (in some movies / series even close to all of it) has to be in whispers.\nThere can be two characters in an enclosed room"
" 'textDisplay': 'I worked on the HBO show Deadwood.  There was a scene between Calamity Jane and the Doctor. Robin kept getting closer and closer to Brad until in one take she had her ear on his mouth. The director called cut and scolded Robin for being ""too intimate"" with Brad. Robin\'s response was"," 'textDisplay': 'I worked on the HBO show Deadwood.  There was a scene between Calamity Jane and the Doctor. Robin kept getting closer and closer to Brad until in one take she had her ear on his mouth. The director called cut and scolded Robin for being ""too intimate"" with Brad. Robin\'s response was"
" 'textDisplay': ""I've been turning subtitles on for over ten years because I have ADHD. Even if I'm fully invested in what I'm watching"," 'textDisplay': ""I've been turning subtitles on for over ten years because I have ADHD. Even if I'm fully invested in what I'm watching"
" 'textDisplay': ""This video is a relief. I'm not a native English speaker"," 'textDisplay': ""This video is a relief. I'm not a native English speaker"
 'textDisplay': 'As a director, 'textDisplay': 'As a director
" 'textDisplay': ""For the last 5-10 year I've felt more and more psychotic with the remote volume.  I move it up and down constantly throughout a show."""," 'textDisplay': ""For the last 5-10 year I've felt more and more psychotic with the remote volume.  I move it up and down constantly throughout a show."""
" 'textDisplay': ""People: we hate this thing"," 'textDisplay': ""People: we hate this thing"
" 'textDisplay': ""This reminds me of my theatre kid days. I tended to be hard to hear and we often didn't have mics. Eventually I learned to speak more clearly not just by raising volume"," 'textDisplay': ""This reminds me of my theatre kid days. I tended to be hard to hear and we often didn't have mics. Eventually I learned to speak more clearly not just by raising volume"
" 'textDisplay': ""The worst is when we go to the theater"," 'textDisplay': ""The worst is when we go to the theater"
" 'textDisplay': ""This is such a huge relief. There have been several times where I think something is wrong with me. I don't have trouble hearing. I have trouble UNDERSTANDING what people are saying. I sometimes even have this trouble just talking to people. Certain accents can be hard to understand and a lot of people mumble and don't properly enunciate their words."""," 'textDisplay': ""This is such a huge relief. There have been several times where I think something is wrong with me. I don't have trouble hearing. I have trouble UNDERSTANDING what people are saying. I sometimes even have this trouble just talking to people. Certain accents can be hard to understand and a lot of people mumble and don't properly enunciate their words."""
" 'textDisplay': 'As someone who always use closed captioning because of hearing impairment: I just want to say I love that this video has the proper captions as opposed to just the ""auto-generated"" ones"," 'textDisplay': 'As someone who always use closed captioning because of hearing impairment: I just want to say I love that this video has the proper captions as opposed to just the ""auto-generated"" ones"
